;kurz;source_domain;title;match;match_long;type
12300;Helene;forvm.contextxxi.org;FORVM: Axel von Ambesser;"e)
1965: Die fromme Helene (auch Reg";"Chéri (Regie und Kommentator)
1965: Das Liebeskarussell (Episodenfilm, auch Regie)
1965: Die fromme Helene (auch Regie)
1966: Das Abgründige in Herrn Gerstenberg (ZDF) (auch Autor und Regie)
1967:";meta
88992;Helene;de.m.wikipedia.org;Robert Stratil – Wikipedia;"en
1965: Die fromme Helene
1965: Ich";"(TV)
1963: Die zwölf Geschworenen (TV)
1964: Vorsicht Mister Dodd
1965: Die Herren
1965: Die fromme Helene
1965: Ich suche einen Mann
1966: Kommissar Freytag (TV-Serie)
1966: Grieche sucht Griechi";meta
65501;Helene;www.aktuelle-veranstaltungen.at;"Atzbacher Theaterwochen 2020 ""Die fromme Helene""";"en 2020 “Die fromme Helene”
Atzbache";"Aktuelle Seite: Start / Theater / Atzbacher Theaterwochen 2020 “Die fromme Helene”
Atzbacher Theaterwochen 2020 “Die fromme Helene”
Komödie in drei Akten von Cornelia Will";meta
72188;Helene;www.reinhard-buerck.de;Meine kleine Puppenwelt - Nachrichten aus der Welt der Puppen;"er Grimm
Die fromme Helene Wilhelm B";"Alte-Weiber-Mühle Richard von Volkmann-Leander
Die Bremer Stadtmusikanten Gebrüder Grimm
Die fromme Helene Wilhelm Busch
Die Gänsemagd Gebrüder Grimm
Die Schildbürger Conradus Agyrta von Bellemont";meta
94757;Helene;gastspiel.komoedie-berlin.de;Horst Maria Merz – Künstler – Über uns;"ermanns ""Die fromme Helene"". 2013 en";"lzburger Festspielen in Friedrich Cerhas ""1. Keintate"" sowie in Bernd Alois Zimmermanns ""Die fromme Helene"". 2013 engagierte ihn das ""Ensemble Modern"" als Hanns Eisler-Interpret für ein Konzert in";meta
90699;Helene;www.komoedie-berlin.de;Horst Maria Merz – Künstler – Über uns;"ermanns „Die fromme Helene“.
2013 tr";"len als Chanosonnier in Friedrich Cerhas „1. Keintate"" sowie in Bernd Alois Zimmermanns „Die fromme Helene“.
2013 trat er als Interpret von Hanns Eisler-Liedern zusammen mit dem ensemble modern“ i";Name
67921;Helene;anabel71.wordpress.com;08 | Juli | 2011 | Ach, Sie bloggen...?;h (Werk: Die fromme Helene, Epilog);"am | Veröffentlicht in einfach nur so | Hinterlasse einen Kommentar
Wilhelm Busch (Werk: Die fromme Helene, Epilog)";meta
8256;Helene;www.claudio.de;Wer Sorgen hat, hat auch Likör ... | Wilhelm Busch | Claudio.de;"h"" oder ""Die fromme Helene"". Sie all";"assikern wie ""Das Bad am Samstagabend"", ""Diogenes und die bösen Buben von Korinth"" oder ""Die fromme Helene"". Sie alle (und noch vielmehr) sind auf diesem Hörbuch versammelt.
Gedichte und Erzählung";meta
202972;Helene;www.audible.de;Hörbuch-Meisterwerke der Weltliteratur, Teil 2 (Hörbuch) von div. | Audible.de: Gelesen von Jürgen Fritsche;"he u. a.
Die fromme Helene und weite";" und Gretel, Das tapfere Schneiderlein, Des Kaisers neue Kleider, Die roten Schuhe u. a.
Die fromme Helene und weitere Gedichte von Wilhelm Busch und Joachim Ringelnatz.
Satiren von Kurt Tucholsky";meta
114880;Helene;www.aphorismen.de;Zitate zum Thema: Gut & Böse (Seite 3);"hichten. Die fromme Helene,1872
Gott";" - 1908), deutscher Zeichner, Maler und Schriftsteller
Quelle: Busch, Bildergeschichten. Die fromme Helene,1872
Gott sei Dank! Nun ist's vorbei
mit der Übeltäterei.
Quelle: Busch, Bildergeschichte";meta
